"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bosnia and Herzegovina","BIH","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.55904778280957","","","","","","","","","","3.87506781368674","2.58981275165162","3.17261980300471","","","","","","","2.96012109009631","2.47409927323334","1.91659262686816","2.17572190034245","1.81236525843054","2.23466183979709","2.26097769893343","1.7584282933457","1.8957087670014","1.85602458095006","1.93645522189356","2.32721286556763","1.55263349930985","",
"Belarus","BLR","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.37518836577692","8.12769870158361","6.38866540227094","5.87810974186891","5.69804945305959","4.77303547212904","5.13251197521041","4.99790768395954","4.68252586147884","4.47847740680561","3.25360116264986","3.16941010358837","3.08884318793686","","","",
"Belize","BLZ","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4570331323102","","","","","55.9629118520544","70.0091174664608","67.8255550946378","77.4822411886131","51.4250220289771","62.6900822595539","60.7850667668699","66.5591618956915","69.4637767614503","64.4628013246066","59.7109378189687","45.77234545546","56.6514519419273","",
"Bermuda","BMU","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52777238812552","10.522992739135","0","","","","10.2383837004931","","","","","","","","0","6.52368914621218","","","","16.2282338813067","22.6852902096769","19.4190468484505","19.4105658179936","16.1922342044755","9.73946919892866","13.0274064062271","26.104548717614","16.284788379175","","0","","","",
"Bolivia","BOL","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8657045310024","","","","","","","5.98715611608164","7.00952916356983","8.36734997415428","5.76060519272268","4.834024365004","3.90502739735514","3.76327855507269","",
"Brazil","BRA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.942775969426","33.6552062181311","30.6895006743066","32.5432549731368","34.0931657021575","38.1379712352686","42.6948787504471","44.119581495486","45.2878600168332","45.7470928021426","47.7478566994309","49.9267747437252","51.2711805547371","52.1509374704536","48.776838494302","47.3311604865194","48.3497149900671","46.6276471372888","48.4348020010762","49.1276114698583","49.3529255264436","48.7837257368087","52.3623556205048","52.3101980755699","54.6847318059814","52.9330696840691","55.4696580037466","57.2796254281036","49.6679151180033","38.6746814408662","41.7830668977251","","",
"Barbados","BRB","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4745633376307","9.61688725401806","14.3852120020619","12.7540852929454","11.1352817425125","9.52785508132421","","","","","11.8240580167113","16.1499524489226","13.713712537076","17.1821976811843","16.4430274790083","15.4020129654717","25.91377175621","14.6610028897608","14.6037577774618","12.2518052269264","17.5516916396714","19.011551418642","15.1612780957435","12.8492443510565","16.5826229186924","21.0511279269526","14.9998687511484","20.9511053578711","17.9189391987994","32.0363575406508","28.2469077069458","19.283041677328","",
"Brunei Darussalam","BRN","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.69830463551667","3.62093625341726","2.36498870717892","1.15922540558399","1.13690301933019","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5304540140592","1.25428180451015","2.23970017880273","1.72997767093106","1.47382849057855","3.41957585046683","","",
"Botswana","BWA","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.793190788","","","","","","",
"Canada","CAN","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.07055917855055","3.43898228659747","3.52258599218212","3.00090381572701","2.72756106313894","2.73269352139876","2.91417520171126","2.6198250676793","2.50302808320865","2.47333995940333","2.61315521575908","2.55066076481544","2.41632484529963","2.50557341686561","2.6875088351853","3.03128261740732","2.76595125172163","2.64619961223045","2.83667135750062","2.69087121340212","2.38829762679855","2.52158845613278","2.27878313097071","2.05825653655275","2.11205072382996","2.43670056867346","2.57264908494472","2.71181313755512","2.68069837358278","2.83780904726248","3.05419869458767","3.09071632150327","",
"Central Europe and the Baltics","CEB","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79654317974584","1.65058223510989","1.50844042754115","1.81456651284181","1.1461561932824","1.22759589373879","1.49850171549955","1.38252243167927","1.33577681544128","1.47292898807522","0.86228765304256","1.3962560316827","1.0315532246276","0.936478428367209","1.09568357377277","1.03078402119842","0.609434743054503","0.673764796816226","0.76936184569337","0.630599361045197","0.674918234304874","0.589838115082545","0.709751722510397","0.625779799853092","0.419988954290502","0.658941030512996","0.48223453983191","0.596664763306072","0.521090609485341","0.4702324629448","0.466635067695333","0.394066791307675","",
